Genome,classified_CPBay_Spr15G08_DNA.bac.ar,classified_CPBay_Spr15L08_DNA.bac.ar,classified_CPBay_Spr31G08_DNA.bac.ar,classified_CPBay_Spr31L08_DNA.bac.ar,classified_CPBay_Sum06G08_DNA.bac.ar,classified_CPBay_Sum06L08_DNA.bac.ar,classified_CPBay_Sum15G08_DNA.bac.ar,classified_CPBay_Sum15L08_DNA.bac.ar,classified_CPBay_Sum20G08_DNA.bac.ar,classified_CPBay_Sum27G08_DNA.bac.ar,classified_CPBay_Sum27L08_DNA.bac.ar,classified_DEBay_Spr_20_G08.bac.ar,classified_DEBay_Spr_20_L08.bac.ar,classified_DEBay_Spr_30_G08.bac.ar,classified_DEBay_Spr_30_L08.bac.ar,classified_DEBay_Sum_019_D_G08.bac.ar,classified_DEBay_Sum_019_D_L08.bac.ar,classified_DEBay_Sum_019_N_G08.bac.ar,classified_DEBay_Sum_019_N_L08.bac.ar,classified_DEBay_Sum_22_D_G08.bac.ar,classified_DEBay_Sum_22_D_L08.bac.ar,classified_DEBay_Sum_22_N_G08.bac.ar,classified_DEBay_Sum_22_N_L08.bac.ar,classified_DEBay_Sum_29_D_G08.bac.ar,classified_DEBay_Sum_29_D_L08.bac.ar,classified_DEBay_Sum_29_N_G08.bac.ar,classified_DEBay_Sum_29_N_L08.bac.ar
Pelagibacterales_MAG_18,75699.77,273396.06,119773.7,275266.4,0,125.72064,0,1843.481,2288.6514,2141.892,6003.1563,34655.883,320990.88,123937.914,226841.88,0,0,0,0,11869.201,6969.397,8075.8994,6470.8286,6446.189,12993.742,7311.594,12778.843
Pelagibacterales_MAG_5,61865.016,125090.9,5391.625,12046.293,1276.2614,1923.647,51668.508,56385.05,55595.57,16056.923,37450.7,488.2759,5663.616,392.64276,1010.3437,0,0,660.40924,0,14528.886,22858.166,11928.947,18933.586,2188.1558,6551.3306,2718.042,8893.009
Pelagibacterales_MAG_19,60992.684,215193.47,89511.34,203915.8,0,90.47921,0,1196.3177,1449.5413,1480.8513,4039.8044,26135.377,238040.6,87439.336,163949.95,0,0,0,0,9329.384,5330.419,6531.8755,5188.3027,5225.799,9998.097,6006.4717,9715.348
Chitinophagales_MAG_10,60380.066,1445.9288,923.26337,0,301.5597,0,0,0,0,0,0,1695.1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NS11-12g_MAG_1,44633.87,5520.65,599.2874,359.39005,0,0,0,0,0,0,0,2688.816,3801.5889,1472.6084,1157.6155,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetales_MAG_2,39616.273,29642.775,7864.36,9669.136,428.17377,582.9686,18721.018,26617.43,17164.943,15105.216,15909.307,248.42603,282.69727,0,0,0,0,0,845.4846,23073.332,21500.209,27032.727,22053.53,13406.463,15913.365,14334.231,15194.794
Pseudomonadales_MAG_1,37078.5,6225.0337,3543.4602,1016.2001,0,0,428.89304,135.576,0,0,0,0,0,0,0,0,0,0,0,191.47618,0,261.25607,0,0,0,0,0
Flavobacteriales_MAG_32,36200.195,306.28055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavobacteriales_MAG_17,28979.129,3199.226,659.7973,193.15471,0,0,0,0,0,0,0,0,0,1075.2632,574.4192,0,0,0,0,0,0,0,0,0,0,0,0
Nanopelagicales_MAG_34,28197.002,20868.371,8474.66,9132.697,0,0,0,0,0,0,0,348.729,274.98306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
