sample,Season,SF,Bay,Salinity,Temperature,Secchi,Depth,PAR,Attenuation,Bacterial_Production,nCells,ChlA,Nitrate,Ammonium,Phosphate,Silicate
classified_CPBay_Spr15G08_DNA.bac.ar,Spring,Particle-attached,Chesapeake,14.7,8.98,NA,1.86,88.5768881725496,-0.53,17.79,2420000,5.06333333333333,10.737,0.7255,-0.1095,0.3945
classified_CPBay_Spr31G08_DNA.bac.ar,Spring,Particle-attached,Chesapeake,30.52,10.63,NA,1.99,56.0252964249384,-2.05,11.35,1970000,2.125,0.4555,7.7315,-0.112,0.4205
classified_CPBay_Sum06G08_DNA.bac.ar,Summer,Particle-attached,Chesapeake,0.6,27.03,1,1.45,502.892020289106,-0.77,86.16,3910000,6.62,20.0115,3.748,0.311,40.2875
classified_CPBay_Sum15G08_DNA.bac.ar,Summer,Particle-attached,Chesapeake,15.36,27.41,2.5,1.29,1182.67594316172,-1.77,104.49,14300000,6.32,2.6655,0.601,-0.0085,23.8005
classified_CPBay_Sum20G08_DNA.bac.ar,Summer,Particle-attached,Chesapeake,20.48,27.36,2,1.22,1111.84770147714,-1.52,103.43,9460000,11.45,-0.646,1.4665,0.0605,17.68
classified_CPBay_Sum27G08_DNA.bac.ar,Summer,Particle-attached,Chesapeake,26.65,26.6,2.5,1.81,1020.8936323847,-2.12,64.26,3400000,3.87,6.5755,5.248,0.183,6.0145
classified_DEBay_Spr_20_G08.bac.ar,Spring,Particle-attached,Delaware,20.12,4.21,1,1.5,NA,NA,36.94,1920000,14.1,14.775,10.5,0.01,2.38
classified_DEBay_Spr_30_G08.bac.ar,Spring,Particle-attached,Delaware,29.91,4.17,2.5,2.27,NA,NA,13.47,1430000,3.8,0.285,6.35,0.02,0.76
classified_DEBay_Sum_019_D_G08.bac.ar,Summer,Particle-attached,Delaware,0.18,25.32,0.5,1.27,61.3824868254928,-0.34,61.58,3120000,10.2666666666667,176.4,7.215,0.43,14.995
classified_DEBay_Sum_019_N_G08.bac.ar,Summer,Particle-attached,Delaware,0.19,25.43,NA,1.29,NA,NA,63.18,2900000,9.87,170.56,11.305,0.41,10.245
classified_DEBay_Sum_22_D_G08.bac.ar,Summer,Particle-attached,Delaware,21.97,24.51,2,1.52,688.723993375805,-1.33,NA,5080000,10.7833333333333,5.38,7.06,0.18,10.675
classified_DEBay_Sum_22_N_G08.bac.ar,Summer,Particle-attached,Delaware,21.53,24.27,NA,1.49,NA,NA,116.76,5050000,11.35,9.625,21.18,0.235,15.165
classified_DEBay_Sum_29_D_G08.bac.ar,Summer,Particle-attached,Delaware,28.81,24.3,1.75,1.78,167.85042952348,-1.34,64.67,3790000,8.86666666666667,0.385,6.595,0.15,5.64
classified_DEBay_Sum_29_N_G08.bac.ar,Summer,Particle-attached,Delaware,29.18,24.29,NA,1.62,NA,NA,64.24,3360000,4.93385,0.535,4.41,0.14,5.375
classified_CPBay_Spr15L08_DNA.bac.ar,Spring,Free_living,Chesapeake,14.7,8.98,NA,1.86,88.5768881725496,-0.53,17.79,2420000,5.06333333333333,10.737,0.7255,-0.1095,0.3945
classified_CPBay_Spr31L08_DNA.bac.ar,Spring,Free_living,Chesapeake,30.52,10.63,NA,1.99,56.0252964249384,-2.05,11.35,1970000,2.125,0.4555,7.7315,-0.112,0.4205
classified_CPBay_Sum06L08_DNA.bac.ar,Summer,Free_living,Chesapeake,0.6,27.03,1,1.45,502.892020289106,-0.77,86.16,3910000,6.62,20.0115,3.748,0.311,40.2875
classified_CPBay_Sum15L08_DNA.bac.ar,Summer,Free_living,Chesapeake,15.36,27.41,2.5,1.29,1182.67594316172,-1.77,104.49,14300000,6.32,2.6655,0.601,-0.0085,23.8005
classified_CPBay_Sum27L08_DNA.bac.ar,Summer,Free_living,Chesapeake,26.65,26.6,2.5,1.81,1020.8936323847,-2.12,64.26,3400000,3.87,6.5755,5.248,0.183,6.0145
classified_DEBay_Spr_20_L08.bac.ar,Spring,Free_living,Delaware,20.12,4.21,1,1.5,NA,NA,36.94,1920000,14.1,14.775,10.5,0.01,2.38
classified_DEBay_Spr_30_L08.bac.ar,Spring,Free_living,Delaware,29.91,4.17,2.5,2.27,NA,NA,13.47,1430000,3.8,0.285,6.35,0.02,0.76
classified_DEBay_Sum_019_D_L08.bac.ar,Summer,Free_living,Delaware,0.18,25.32,0.5,1.27,61.3824868254928,-0.34,61.58,3120000,10.2666666666667,176.4,7.215,0.43,14.995
classified_DEBay_Sum_019_N_L08.bac.ar,Summer,Free_living,Delaware,0.19,25.43,NA,1.29,NA,NA,63.18,2900000,9.87,170.56,11.305,0.41,10.245
classified_DEBay_Sum_22_D_L08.bac.ar,Summer,Free_living,Delaware,21.97,24.51,2,1.52,688.723993375805,-1.33,NA,5080000,10.7833333333333,5.38,7.06,0.18,10.675
classified_DEBay_Sum_22_N_L08.bac.ar,Summer,Free_living,Delaware,21.53,24.27,NA,1.49,NA,NA,116.76,5050000,11.35,9.625,21.18,0.235,15.165
classified_DEBay_Sum_29_D_L08.bac.ar,Summer,Free_living,Delaware,28.81,24.3,1.75,1.78,167.85042952348,-1.34,64.67,3790000,8.86666666666667,0.385,6.595,0.15,5.64
classified_DEBay_Sum_29_N_L08.bac.ar,Summer,Free_living,Delaware,29.18,24.29,NA,1.62,NA,NA,64.24,3360000,4.93385,0.535,4.41,0.14,5.375
