"RDA1","RDA2","Sample","Season","Bay","SF"
0.0464506745438273,0.318082580559015,"classified_CPBay_Spr15G08_DNA.bac.ar","Spring","Chesapeake","Particle-attached"
-0.0203754677150788,0.315028666392143,"classified_CPBay_Spr15L08_DNA.bac.ar","Spring","Chesapeake","Free_living"
-0.0290785694769595,0.457319499542619,"classified_CPBay_Spr31G08_DNA.bac.ar","Spring","Chesapeake","Particle-attached"
-0.0306292582509844,0.450669263158926,"classified_CPBay_Spr31L08_DNA.bac.ar","Spring","Chesapeake","Free_living"
0.206490631567848,-0.246931330513466,"classified_CPBay_Sum06G08_DNA.bac.ar","Summer","Chesapeake","Particle-attached"
0.223682024899952,-0.194818931530071,"classified_CPBay_Sum06L08_DNA.bac.ar","Summer","Chesapeake","Free_living"
-0.190410986202677,-0.243433296444958,"classified_CPBay_Sum15G08_DNA.bac.ar","Summer","Chesapeake","Particle-attached"
-0.208030503398241,-0.195975775305679,"classified_CPBay_Sum15L08_DNA.bac.ar","Summer","Chesapeake","Free_living"
-0.229225619965293,-0.205825565039163,"classified_CPBay_Sum20G08_DNA.bac.ar","Summer","Chesapeake","Particle-attached"
-0.237124005734312,-0.160922448110916,"classified_CPBay_Sum27G08_DNA.bac.ar","Summer","Chesapeake","Particle-attached"
-0.249742995064149,-0.153658172351681,"classified_CPBay_Sum27L08_DNA.bac.ar","Summer","Chesapeake","Free_living"
0.602442607402449,-0.0768985097465698,"classified_DEBay_Sum_019_D_G08.bac.ar","Summer","Delaware","Particle-attached"
0.603677594082848,-0.074890959318714,"classified_DEBay_Sum_019_D_L08.bac.ar","Summer","Delaware","Free_living"
-0.235604380812192,0.00987871585922477,"classified_DEBay_Sum_29_D_G08.bac.ar","Summer","Delaware","Particle-attached"
-0.252521745877039,0.00237626284929113,"classified_DEBay_Sum_29_D_L08.bac.ar","Summer","Delaware","Free_living"
